schema_name,table_name,description,grain
schema,uzp_dwh_fact_outflow,Информация по фактическим оттокам,event
schema,uzp_dim_gosb,Справочник ТБ и ГОСБ,dictionary
schema,uzp_data_split_mzp_sale_funnel,Сплит МЗП Воронка продаж,task
schema,uzp_data_payroll_m,ЗП ведомости (месяц),payment
schema,uzp_data_emp_epk_assignment,Данные по закреплению сотрудников за организациями,employee
schema,uzp_data_epk_consolidation,Данные по атрибутам ЕПК организаций,organization
schema,uzp_dwh_sap_staff_emp,Данные штатной численности сотрудников,employee
